participant,filename,video_path,raw_gloss,gloss,source,split,class_idx
P50,0719792557216079-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\0719792557216079-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P30,3694835225296791-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3694835225296791-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P11,6870709051348651-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\6870709051348651-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P18,23521769221811684-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\23521769221811684-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P40,46219887716632324-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\46219887716632324-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P37,16792698524451422-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\16792698524451422-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P49,4893817008748198-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\4893817008748198-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P43,9984633646517553-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9984633646517553-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P15,3758657990369867-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3758657990369867-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P49,34625615110480457-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\34625615110480457-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P6,641444141964802-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\641444141964802-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P17,13991818149960333-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\13991818149960333-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P42,023931338852502426-1 DOLLAR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\023931338852502426-1 DOLLAR.mp4,1DOLLAR,1DOLLAR,asl_citizen,train,0
P22,8227831990208962-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8227831990208962-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P52,8646929964459329-seed5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8646929964459329-seed5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P18,5741835076569095-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5741835076569095-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P21,1448188216215387-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\1448188216215387-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P31,9162013181715445-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9162013181715445-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P29,9310301380544421-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9310301380544421-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P9,26009429494851943-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\26009429494851943-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P47,9072587176900015-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9072587176900015-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P51,707159634650049-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\707159634650049-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P40,220586834815649-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\220586834815649-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P16,8846206002347314-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8846206002347314-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P12,9219095671540121-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9219095671540121-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P50,2660970218292622-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\2660970218292622-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P27,29704943869452016-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\29704943869452016-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P11,8071670622765252-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8071670622765252-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P15,831203787857703-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\831203787857703-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P37,8003382091872024-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8003382091872024-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P7,9170671032109232-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9170671032109232-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P48,5941277999870538-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5941277999870538-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P41,16319399751609986-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\16319399751609986-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P6,09345244606863634-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\09345244606863634-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P17,14198612699161606-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\14198612699161606-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P42,36704565051685223-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\36704565051685223-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P39,5282036005590058-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5282036005590058-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P9,25266312141092606-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\25266312141092606-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P35,0919782835877363-5 DOLLARS.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\0919782835877363-5 DOLLARS.mp4,5DOLLARS,5DOLLARS,asl_citizen,train,1
P48,5045239686748142-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5045239686748142-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P51,8612915746163854-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8612915746163854-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P15,9029556042473037-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9029556042473037-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P21,3191470037860531-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3191470037860531-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P50,5137264121322558-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5137264121322558-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P27,7156906115456758-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\7156906115456758-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P22,07243138866452936-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\07243138866452936-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P18,132075224114935-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\132075224114935-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P33,6648747116340055-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\6648747116340055-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P40,1798970502321311-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\1798970502321311-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P43,2390107384749678-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\2390107384749678-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P52,281270610379605-seed8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\281270610379605-seed8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P16,45725512629926124-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\45725512629926124-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P11,8456565013518682-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8456565013518682-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P29,49863717504174954-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\49863717504174954-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P42,6609147443429966-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\6609147443429966-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P14,729259077623091-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\729259077623091-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P34,936018131652089-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\936018131652089-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P47,41098649268419307-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\41098649268419307-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P38,2619284696045212-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\2619284696045212-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P35,9192146459174093-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9192146459174093-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P49,42800084869897037-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\42800084869897037-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P39,5929429678299929-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5929429678299929-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P17,5342088990441476-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5342088990441476-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P6,8587360828955466-8 HOUR.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8587360828955466-8 HOUR.mp4,8HOUR,8HOUR,asl_citizen,train,2
P48,5079253582867529-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5079253582867529-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P21,9024009019193928-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9024009019193928-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P47,23059215937645727-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\23059215937645727-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P26,8148576061447477-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8148576061447477-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P31,12926298027950378-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\12926298027950378-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P33,840550933348196-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\840550933348196-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P22,023247676879693424-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\023247676879693424-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P18,666124017250489-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\666124017250489-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P27,9079978416295513-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9079978416295513-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P40,5716557271797269-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\5716557271797269-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P16,8959505116855557-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8959505116855557-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P39,34470382064653826-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\34470382064653826-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P50,8565371018007264-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8565371018007264-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P52,26058961669807146-seed9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\26058961669807146-seed9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P51,11977669283016534-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\11977669283016534-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P18,7957334098119302-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\7957334098119302-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P37,9556351339722142-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9556351339722142-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P7,18354484312293273-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\18354484312293273-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P47,26580221616724287-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\26580221616724287-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P36,8321504039819527-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\8321504039819527-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P15,6177932041503844-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\6177932041503844-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P49,7371911541439389-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\7371911541439389-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P35,7959099640327127-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\7959099640327127-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P17,9600414019934755-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9600414019934755-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P42,9834612993370104-9 OCLOCK.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\9834612993370104-9 OCLOCK.mp4,9OCLOCK,9OCLOCK,asl_citizen,train,3
P48,3126916427345261-ABBREVIATE.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3126916427345261-ABBREVIATE.mp4,ABBREVIATE,ABBREVIATE,asl_citizen,train,4
P12,4992313828702428-ABBREVIATE.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\4992313828702428-ABBREVIATE.mp4,ABBREVIATE,ABBREVIATE,asl_citizen,train,4
P18,20970863889599456-ABBREVIATE.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\20970863889599456-ABBREVIATE.mp4,ABBREVIATE,ABBREVIATE,asl_citizen,train,4
P39,3573238781140957-ABBREVIATE.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\3573238781140957-ABBREVIATE.mp4,ABBREVIATE,ABBREVIATE,asl_citizen,train,4
P30,08085372144418757-ABBREVIATE.mp4,C:\Not Windows\Artificial Intelligence and Machine Learning (AIM)\Summer 2026\Signify\data\asl_citizen\ASL_Citizen\videos\08085372144418757-ABBREVIATE.mp4,ABBREVIATE,ABBREVIATE,asl_citizen,train,4
